,Job Title,Company,Location,Salary,Search Term,lower_sal_val,upper_sal_val,mean salary,median_bool,60_perc_bool,70_perc_bool,75_perc_bool,90_perc_bool,state
2045,Internet Research Analyst,"    G2 Web Services, LLC","Bellevue, WA 98004 (Downtown area)",35000,"Redmond, WA",35000,35000,35000.0,False,False,False,False,False,['WA']
2109,Business Intelligence Scientist,    All-In Analytics,"Seattle, WA",100000 - 150000,"Redmond, WA",100000,150000,125000.0,True,False,False,False,False,['WA']
2213,Environmental Compliance Coordinator,        King County,"Seattle, WA",82326 - 104374,"Redmond, WA",82326,104374,93350.0,False,False,False,False,False,['WA']
2233,Senior Data Scientist,        Smith Hanley Associates,"Seattle, WA",155000 - 165000,"Redmond, WA",155000,165000,160000.0,True,True,True,True,False,['WA']
2282,Software Development Engineer (Back End) (Local candidates o...,    Laetus Recruitment,"Seattle, WA",120000 - 150000,"Redmond, WA",120000,150000,135000.0,True,True,False,False,False,['WA']
2333,Certifying Scientist,    Lighthouse Recruiting,"Seattle, WA",65000 - 80000,"Redmond, WA",65000,80000,72500.0,False,False,False,False,False,['WA']
2338,Predoctoral Research Fellow,        Seattle Children's Hospital,"Seattle, WA 98101 (Downtown area)",36700 - 55000,"Redmond, WA",36700,55000,45850.0,False,False,False,False,False,['WA']
2374,Associate Analytics Analyst - Liberty Mutual Surety,        Liberty Mutual,"Seattle, WA",58000 - 61000,"Redmond, WA",58000,61000,59500.0,False,False,False,False,False,['WA']
2428,Bioinformatics Analyst,    Lighthouse Recruiting,"Seattle, WA",80000 - 90000,"Redmond, WA",80000,90000,85000.0,False,False,False,False,False,['WA']
2502,Variant Scientist (Remote),    Lighthouse Recruiting,"Seattle, WA",90000 - 100000,"Redmond, WA",90000,100000,95000.0,False,False,False,False,False,['WA']
2598,Data Scientist,    Keyo,"Palo Alto, CA",120000 - 200000,"Mountain View, CA",120000,200000,160000.0,True,True,True,True,False,['CA']
2617,Data Scientist,        Jobspring Partners,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",175000,"Mountain View, CA",175000,175000,175000.0,True,True,True,True,False,['CA']
2630,Data Scientist,    ITStaff Technical Resources,"Santa Clara, CA",85000 - 120000,"Mountain View, CA",85000,120000,102500.0,False,False,False,False,False,['CA']
2641,"Principal Software Engineer, Data Science",    MatchPointe Group,"Santa Clara, CA",100000 - 150000,"Mountain View, CA",100000,150000,125000.0,True,False,False,False,False,['CA']
2706,"Senior Scientist III, Pre-Clinical Safety",    EPM Scientific,"Redwood City, CA",140000,"Mountain View, CA",140000,140000,140000.0,True,True,False,False,False,['CA']
2717,Principal Data Scientist,    ITStaff Technical Resources,"Santa Clara, CA",100000 - 150000,"Mountain View, CA",100000,150000,125000.0,True,False,False,False,False,['CA']
2776,Big Data Engineer,        Jobspring Partners,"Mountain View, CA 94043",170000,"Mountain View, CA",170000,170000,170000.0,True,True,True,True,False,['CA']
2845,Senior Data Scientist,        Workbridge Associates,"Mountain View, CA 94039",200000,"Mountain View, CA",200000,200000,200000.0,True,True,True,True,True,['CA']
2920,Data Engineer,        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",130000 - 165000,"Mountain View, CA",130000,165000,147500.0,True,True,True,False,False,['CA']
2927,Machine Learning Engineer/Scientist,        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",150000 - 175000,"Mountain View, CA",150000,175000,162500.0,True,True,True,True,False,['CA']
2969,"Principal Data Scientist, Sequencing",    Enterprise Select,"Santa Clara, CA 95050",150000,"Mountain View, CA",150000,150000,150000.0,True,True,True,True,False,['CA']
2979,Lead Data Scientist,    3coast,"San Mateo, CA",130000 - 160000,"Mountain View, CA",130000,160000,145000.0,True,True,True,False,False,['CA']
3008,Software Engineer/Machine Learning,        LB &amp; Associates,"San Jose, CA",150000 - 200000,"Mountain View, CA",150000,200000,175000.0,True,True,True,True,False,['CA']
3024,SENIOR ARTICIAL INTELLIGENCE (AI)/ DATA SCIENTIST,"    TW STAFFING SOLUTIONS,INC","San Jose, CA",150000 - 200000,"Mountain View, CA",150000,200000,175000.0,True,True,True,True,False,['CA']
3084,Planning and Research Analyst (HSI-Grant Funded),        San Mateo County Community College District,"San Mateo, CA",97116,"Mountain View, CA",97116,97116,97116.0,False,False,False,False,False,['CA']
3107,Mid-Level QA Engineer,        Workbridge Associates,"San Jose, CA 95113 (Downtown area)",100000,"Mountain View, CA",100000,100000,100000.0,False,False,False,False,False,['CA']
3280,Site Reliability Engineer,    MountainView Tech Staffing,"San Mateo, CA",120000 - 140000,"Mountain View, CA",120000,140000,130000.0,True,True,False,False,False,['CA']
3306,Bioinformatics Engineer,    ITStaff Technical Resources,"Santa Clara, CA",100000 - 140000,"Mountain View, CA",100000,140000,120000.0,True,False,False,False,False,['CA']
